dataset,cluster,makespan_min,avg_power_W,energy_kWh,carbon_kgCO2,cost_usd,fabric_site,egrid_subregion,emission_factor_kgCO2_per_kWh
DS-I,C1,628.92,317.21,3.324,2.221,97.76,HAWI,HIOA,0.667
DS-I,C2,544.33,231.45,2.100,0.435,46.40,UCSD,CAMX,0.207
DS-I,C3,866.78,167.92,2.426,0.863,34.87,FIU,FRCC,0.355
DS-I,C4,833.28,239.43,3.325,4.355,43.53,MAX,RFCE,0.288
DS-II,C1,86.05,249.39,0.358,0.240,13.38,HAWI,HIOA,0.667
DS-II,C2,74.13,204.10,0.252,0.052,6.32,UCSD,CAMX,0.207
DS-II,C3,108.40,153.59,0.277,0.099,4.44,FIU,FRCC,0.355
DS-II,C4,110.40,471.05,0.867,0.959,5.77,MAX,RFCE,0.288
DS-III,C1,946.77,279.16,4.404,2.935,147.16,HAWI,HIOA,0.667
DS-III,C2,754.10,233.04,2.929,0.607,64.28,UCSD,CAMX,0.207
DS-III,C3,1159.03,172.10,3.325,1.182,46.63,FIU,FRCC,0.355
DS-III,C4,1161.70,154.85,2.998,0.864,60.68,MAX,RFCE,0.288
DS-IV,C1,781.17,320.36,4.171,2.781,121.42,HAWI,HIOA,0.667
DS-IV,C2,660.60,234.62,2.583,0.534,56.31,UCSD,CAMX,0.207
DS-IV,C3,945.40,166.85,2.629,0.934,38.04,FIU,FRCC,0.355
DS-IV,C4,941.10,153.05,2.402,0.691,49.16,MAX,RFCE,0.288
DS-V,C1,498.33,394.30,3.275,2.188,77.46,HAWI,HIOA,0.667
DS-V,C2,547.98,212.36,1.939,0.402,46.71,UCSD,CAMX,0.207
DS-V,C3,608.57,148.46,1.506,0.536,24.49,FIU,FRCC,0.355
DS-V,C4,596.27,144.74,1.438,0.415,31.15,MAX,RFCE,0.288
